date,grsr,keyword,geo,time,gprop,category,categories,categories2,selected,days1a,days1b,days2,post1a,post1b,post2
2020-04-05,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,3,-1,-9,1,0,0
2020-04-12,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,4,0,-8,1,0,0
2020-04-19,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,5,1,-7,1,1,0
2020-04-26,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,6,2,-6,1,1,0
2020-05-03,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,7,3,-5,1,1,0
2020-05-10,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,8,4,-4,1,1,0
2020-05-17,3,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,9,5,-3,1,1,0
2020-05-24,4,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,10,6,-2,1,1,0
2020-05-31,6,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,11,7,-1,1,1,0
2020-06-07,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,12,8,0,1,1,0
2020-06-14,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,13,9,1,1,1,1
2020-06-21,5,"""modal jualan""+""cara jualan online""",ID,2020-01-01 2020-10-31,web,0,Berjualan,Mencari pekerjaan/menyiapkan usaha,1,14,10,2,1,1,1
